bit_index,mean_value,positive_rate,entropy
408,-0.666236,0.166882,0.6505221694209273
409,-0.252624,0.373688,0.953461803717413
410,-0.6741,0.16295,0.6413204134127191
411,-0.456532,0.271734,0.8439418277080188
412,0.6741,0.83705,0.6413204134127192
413,-0.50328,0.24836,0.808668423419373
414,-0.771644,0.114178,0.5123908501789547
415,0.6741,0.83705,0.6413204134127192
416,0.73276,0.86638,0.5672831199242285
417,-0.56194,0.21903,0.7583923520724396
418,0.666236,0.833118,0.6505221694209273
419,-0.666236,0.166882,0.6505221694209273
420,-0.535512,0.232244,0.7819026357499015
421,0.520988,0.760494,0.794217809108885
422,0.561084,0.780542,0.7591765912816288
423,-0.49456,0.25272,0.8155608278147763
424,0.666236,0.833118,0.6505221694209273
425,-0.495416,0.252292,0.8148906891761454
426,-0.771644,0.114178,0.5123908501789547
427,-0.55322,0.22339,0.7663094110834687
428,0.803876,0.901938,0.4628220013711464
429,-0.6741,0.16295,0.6413204134127191
430,-0.707188,0.146406,0.6007727531219859
431,0.666236,0.833118,0.6505221694209273
432,-0.528852,0.235574,0.7876021953101858
433,-0.535512,0.232244,0.7819026357499015
434,0.56194,0.78097,0.7583923520724396
435,0.49456,0.74728,0.8155608278147761
436,-0.527648,0.236176,0.788623058782228
437,-0.527648,0.236176,0.788623058782228
438,0.536368,0.768184,0.7811635915470337
439,0.527648,0.763824,0.7886230587822283
440,-0.527648,0.236176,0.788623058782228
441,-0.55322,0.22339,0.7663094110834687
442,0.74148,0.87074,0.5554052340042999
443,0.520132,0.760066,0.7949305064627987
444,-0.674956,0.162522,0.6403089854012692
445,-0.666236,0.166882,0.6505221694209273
446,-0.535512,0.232244,0.7819026357499015
447,0.56194,0.78097,0.7583923520724396
448,0.423444,0.711722,0.8664864243209798
449,0.520988,0.760494,0.794217809108885
450,0.536368,0.768184,0.7811635915470337
451,-0.464396,0.267802,0.8382929329070363
452,0.456532,0.728266,0.8439418277080191
453,0.942464,0.971232,0.18817530468498098
454,-0.527648,0.236176,0.788623058782228
455,-0.536368,0.231816,0.7811635915470336
456,-0.73276,0.13362,0.5672831199242286
457,-0.68282,0.15859,0.63092569111122
